Team,Opp,Date,GF,GA,CF,CA
ALM,ESP,23.08.2014,1,1,,
ALM,GET,29.08.2014,0,1,,
ALM,COR,12.09.2014,1,1,,
ALM,RSO,21.09.2014,2,1,,
ALM,ATM,24.09.2014,0,1,,
ALM,DEP,28.09.2014,1,0,,
ALM,ELC,04.10.2014,2,2,,
ALM,VILL,19.10.2014,0,2,,
ALM,ATH,25.10.2014,0,1,,
ALM,LEV,02.11.2014,1,2,,
ALM,BAR,08.11.2014,1,2,,
ALM,GRA,24.11.2014,0,0,,
ALM,RVA,01.12.2014,0,1,,
ALM,EIB,08.12.2014,2,5,,
ALM,RMA,12.12.2014,1,4,,
ALM,CEL,19.12.2014,1,0,,
ALM,MLG,03.01.2015,2,1,,
ALM,SEV,11.01.2015,0,2,,
ALM,VAL,17.01.2015,2,3,,
ALM,ESP,25.01.2015,0,3,,
ALM,GET,01.02.2015,1,0,,
ALM,COR,08.02.2015,2,1,,
ALM,RSO,13.02.2015,2,2,,
ALM,ATM,21.02.2015,0,3,,
ALM,DEP,28.02.2015,0,0,,
ALM,ELC,07.03.2015,0,1,,
ALM,VILL,15.03.2015,0,0,,
ALM,ATH,21.03.2015,1,2,,
ALM,LEV,04.04.2015,1,4,,
ALM,BAR,08.04.2015,0,4,,
ALM,GRA,11.04.2015,3,0,,
ALM,RVA,19.04.2015,0,2,,
ALM,EIB,26.04.2015,2,0,,
ALM,RMA,29.04.2015,0,3,,
ALM,CEL,04.05.2015,2,2,,
ALM,MLG,10.05.2015,1,2,,
ALM,SEV,17.05.2015,1,2,,
ALM,VAL,23.05.2015,2,3,,
ATH,MLG,23.08.2014,0,1,,
ATH,LEV,30.08.2014,3,0,,
ATH,BAR,13.09.2014,0,2,,
ATH,GRA,20.09.2014,0,1,,
ATH,RVA,24.09.2014,1,2,,
ATH,EIB,27.09.2014,0,0,,
ATH,RMA,05.10.2014,0,5,,
ATH,CEL,18.10.2014,1,1,,
ATH,ALM,25.10.2014,1,0,,
ATH,SEV,02.11.2014,1,0,,
ATH,VAL,09.11.2014,0,0,,
ATH,ESP,21.11.2014,3,1,,
ATH,GET,29.11.2014,2,1,,
ATH,COR,06.12.2014,0,1,,
ATH,RSO,14.12.2014,1,1,,
ATH,ATM,21.12.2014,1,4,,
ATH,DEP,03.01.2015,0,1,,
ATH,ELC,11.01.2015,1,2,,
ATH,VILL,17.01.2015,0,2,,
ATH,MLG,25.01.2015,1,1,,
ATH,LEV,01.02.2015,2,0,,
ATH,BAR,08.02.2015,2,5,,
ATH,GRA,14.02.2015,0,0,,
ATH,RVA,22.02.2015,1,0,,
ATH,EIB,01.03.2015,1,0,,
ATH,RMA,07.03.2015,1,0,,
ATH,CEL,14.03.2015,2,1,,
ATH,ALM,21.03.2015,2,1,,
ATH,SEV,04.04.2015,0,2,,
ATH,VAL,09.04.2015,1,1,,
ATH,ESP,12.04.2015,0,1,,
ATH,GET,18.04.2015,4,0,,
ATH,COR,24.04.2015,1,0,,
ATH,RSO,28.04.2015,1,1,,
ATH,ATM,02.05.2015,0,0,,
ATH,DEP,09.05.2015,1,1,,
ATH,ELC,17.05.2015,3,2,,
ATH,VILL,23.05.2015,4,0,,
ATM,RVA,25.08.2014,0,0,,
ATM,EIB,30.08.2014,2,1,,
ATM,RMA,13.09.2014,2,1,,
ATM,CEL,20.09.2014,2,2,,
ATM,ALM,24.09.2014,1,0,,
ATM,SEV,27.09.2014,4,0,,
ATM,VAL,04.10.2014,1,3,,
ATM,ESP,19.10.2014,2,0,,
ATM,GET,26.10.2014,1,0,,
ATM,COR,01.11.2014,4,2,,
ATM,RSO,09.11.2014,1,2,,
ATM,MLG,22.11.2014,3,1,,
ATM,DEP,30.11.2014,2,0,,
ATM,ELC,06.12.2014,2,0,,
ATM,VILL,14.12.2014,0,1,,
ATM,ATH,21.12.2014,4,1,,
ATM,LEV,03.01.2015,3,1,,
ATM,BAR,11.01.2015,1,3,,
ATM,GRA,18.01.2015,2,0,,
ATM,RVA,24.01.2015,3,1,,
ATM,EIB,31.01.2015,3,1,,
ATM,RMA,07.02.2015,4,0,,
ATM,CEL,15.02.2015,0,2,,
ATM,ALM,21.02.2015,3,0,,
ATM,SEV,01.03.2015,0,0,,
ATM,VAL,08.03.2015,1,1,,
ATM,ESP,14.03.2015,0,0,,
ATM,GET,21.03.2015,2,0,,
ATM,COR,04.04.2015,2,0,,
ATM,RSO,07.04.2015,2,0,,
ATM,MLG,11.04.2015,2,2,,
ATM,DEP,18.04.2015,2,1,,
ATM,ELC,25.04.2015,3,0,,
ATM,VILL,29.04.2015,1,0,,
ATM,ATH,02.05.2015,0,0,,
ATM,LEV,10.05.2015,2,2,,
ATM,BAR,17.05.2015,0,1,,
ATM,GRA,23.05.2015,0,0,,
BAR,ELC,24.08.2014,3,0,,
BAR,VILL,31.08.2014,1,0,,
BAR,ATH,13.09.2014,2,0,,
BAR,LEV,21.09.2014,5,0,,
BAR,MLG,24.09.2014,0,0,,
BAR,GRA,27.09.2014,6,0,,
BAR,RVA,04.10.2014,2,0,,
BAR,EIB,18.10.2014,3,0,,
BAR,RMA,25.10.2014,1,3,,
BAR,CEL,01.11.2014,0,1,,
BAR,ALM,08.11.2014,2,1,,
BAR,SEV,22.11.2014,5,1,,
BAR,VAL,30.11.2014,1,0,,
BAR,ESP,07.12.2014,5,1,,
BAR,GET,13.12.2014,0,0,,
BAR,COR,20.12.2014,5,0,,
BAR,RSO,04.01.2015,0,1,,
BAR,ATM,11.01.2015,3,1,,
BAR,DEP,18.01.2015,4,0,,
BAR,ELC,24.01.2015,6,0,,
BAR,VILL,01.02.2015,3,2,,
BAR,ATH,08.02.2015,5,2,,
BAR,LEV,15.02.2015,5,0,,
BAR,MLG,21.02.2015,0,1,,
BAR,GRA,28.02.2015,3,1,,
BAR,RVA,08.03.2015,6,1,,
BAR,EIB,14.03.2015,2,0,,
BAR,RMA,22.03.2015,2,1,,
BAR,CEL,05.04.2015,1,0,,
BAR,ALM,08.04.2015,4,0,,
BAR,SEV,11.04.2015,2,2,,
BAR,VAL,18.04.2015,2,0,,
BAR,ESP,25.04.2015,2,0,,
BAR,GET,28.04.2015,6,0,,
BAR,COR,02.05.2015,8,0,,
BAR,RSO,09.05.2015,2,0,,
BAR,ATM,17.05.2015,1,0,,
BAR,DEP,23.05.2015,2,2,,
VAL,SEV,23.08.2014,1,1,,
VAL,MLG,29.08.2014,3,0,,
VAL,ESP,14.09.2014,3,1,,
VAL,GET,22.09.2014,3,0,,
VAL,COR,25.09.2014,3,0,,
VAL,RSO,28.09.2014,1,1,,
VAL,ATM,04.10.2014,3,1,,
VAL,DEP,19.10.2014,0,3,,
VAL,ELC,25.10.2014,3,1,,
VAL,VILL,02.11.2014,3,1,,
VAL,ATH,09.11.2014,0,0,,
VAL,LEV,23.11.2014,1,2,,
VAL,BAR,30.11.2014,0,1,,
VAL,GRA,07.12.2014,1,1,,
VAL,RVA,13.12.2014,3,0,,
VAL,EIB,20.12.2014,1,0,,
VAL,RMA,04.01.2015,2,1,,
VAL,CEL,10.01.2015,1,1,,
VAL,ALM,17.01.2015,3,2,,
VAL,SEV,25.01.2015,3,1,,
VAL,MLG,02.02.2015,0,1,,
VAL,ESP,08.02.2015,2,1,,
VAL,GET,15.02.2015,1,0,,
VAL,COR,21.02.2015,2,1,,
VAL,RSO,01.03.2015,2,0,,
VAL,ATM,08.03.2015,1,1,,
VAL,DEP,13.03.2015,2,0,,
VAL,ELC,20.03.2015,4,0,,
VAL,VILL,05.04.2015,0,0,,
VAL,ATH,09.04.2015,1,1,,
VAL,LEV,13.04.2015,3,0,,
VAL,BAR,18.04.2015,0,2,,
VAL,GRA,27.04.2015,4,0,,
VAL,RVA,30.04.2015,1,1,,
VAL,EIB,03.05.2015,3,1,,
VAL,RMA,09.05.2015,2,2,,
VAL,CEL,17.05.2015,1,1,,
VAL,ALM,23.05.2015,3,2,,
VILL,LEV,24.08.2014,2,0,,
VILL,BAR,31.08.2014,0,1,,
VILL,GRA,14.09.2014,0,0,,
