Team,Opp,Date,GF,GA,CF,CA
ARS,CRY,16.08.2014,2,1,3,0
ARS,EVE,23.08.2014,2,2,2,3
ARS,LEI,31.08.2014,1,1,4,1
ARS,MCI,13.09.2014,2,2,5,4
ARS,AST,20.09.2014,3,0,2,1
ARS,TOT,27.09.2014,1,1,1,1
ARS,CHE,05.10.2014,0,2,0,3
ARS,HUL,18.10.2014,2,2,2,1
ARS,SUN,25.10.2014,2,0,2,0
ARS,BUR,01.11.2014,3,0,4,1
ARS,SWA,09.11.2014,1,2,3,0
ARS,MUN,22.11.2014,1,2,2,2
ARS,WBA,29.11.2014,1,0,0,0
ARS,SOU,03.12.2014,1,0,4,1
ARS,STK,06.12.2014,2,3,3,4
ARS,NEW,13.12.2014,4,1,3,1
ARS,LIV,21.12.2014,2,2,1,1
ARS,QPR,26.12.2014,2,1,3,1
ARS,WHU,28.12.2014,2,1,4,2
ARS,SOU,01.01.2015,0,2,1,3
ARS,STK,11.01.2015,3,0,3,0
ARS,MCI,18.01.2015,2,0,2,0
ARS,AST,01.02.2015,5,0,3,1
ARS,TOT,07.02.2015,1,2,1,1
ARS,LEI,10.02.2015,2,1,3,1
ARS,CRY,21.02.2015,2,1,4,2
ARS,EVE,01.03.2015,2,0,2,0
ARS,QPR,04.03.2015,2,1,2,0
ARS,WHU,14.03.2015,3,0,5,0
ARS,NEW,21.03.2015,2,1,1,2
ARS,LIV,04.04.2015,4,1,1,1
ARS,BUR,11.04.2015,1,0,1,0
ARS,CHE,26.04.2015,0,0,1,2
ARS,HUL,04.05.2015,3,1,3,1
ARS,SWA,11.05.2015,0,1,2,0
ARS,MUN,17.05.2015,1,1,2,0
ARS,SUN,20.05.2015,0,0,1,3
ARS,WBA,24.05.2015,4,1,2,0
AST,STK,16.08.2014,1,0,1,0
AST,NEW,23.08.2014,0,0,0,0
AST,HUL,31.08.2014,2,1,0,0
AST,LIV,13.09.2014,1,0,1,0
AST,ARS,20.09.2014,0,3,1,2
AST,CHE,27.09.2014,0,3,0,4
AST,MCI,04.10.2014,0,2,1,2
AST,EVE,18.10.2014,0,3,0,2
AST,QPR,27.10.2014,0,2,1,1
AST,TOT,02.11.2014,1,2,1,4
AST,WHU,08.11.2014,0,0,0,1
AST,SOU,24.11.2014,1,1,2,0
AST,BUR,29.11.2014,1,1,0,4
AST,CRY,02.12.2014,1,0,0,0
AST,LEI,07.12.2014,2,1,3,1
AST,WBA,13.12.2014,0,1,0,3
AST,MUN,20.12.2014,1,1,0,1
AST,SWA,26.12.2014,0,1,3,1
AST,SUN,28.12.2014,0,0,0,0
AST,CRY,01.01.2015,0,0,2,1
AST,LEI,10.01.2015,0,1,1,4
AST,LIV,17.01.2015,0,2,0,2
AST,ARS,01.02.2015,0,5,1,3
AST,CHE,07.02.2015,1,2,1,1
AST,HUL,10.02.2015,0,2,0,1
AST,STK,21.02.2015,1,2,0,1
AST,NEW,28.02.2015,0,1,0,1
AST,WBA,03.03.2015,2,1,3,2
AST,SUN,14.03.2015,4,0,2,0
AST,SWA,21.03.2015,0,1,0,3
AST,MUN,04.04.2015,1,3,0,2
AST,QPR,07.04.2015,3,3,2,2
AST,TOT,11.04.2015,1,0,1,0
AST,MCI,25.04.2015,2,3,1,2
AST,EVE,02.05.2015,3,2,2,2
AST,WHU,09.05.2015,1,0,1,0
AST,SOU,16.05.2015,1,6,3,8
AST,BUR,24.05.2015,0,1,0,1
BUR,CHE,18.08.2014,1,3,0,3
BUR,SWA,23.08.2014,0,1,1,1
BUR,MUN,30.08.2014,0,0,0,0
BUR,CRY,13.09.2014,0,0,1,0
BUR,SUN,20.09.2014,0,0,0,0
BUR,WBA,28.09.2014,0,4,0,1
BUR,LEI,04.10.2014,2,2,1,2
BUR,WHU,18.10.2014,1,3,2,3
BUR,EVE,26.10.2014,1,3,2,2
BUR,ARS,01.11.2014,0,3,1,4
BUR,HUL,08.11.2014,1,0,2,0
BUR,STK,22.11.2014,2,1,2,3
BUR,AST,29.11.2014,1,1,4,0
BUR,NEW,02.12.2014,1,1,0,1
BUR,QPR,06.12.2014,0,2,1,3
BUR,SOU,13.12.2014,1,0,0,2
BUR,TOT,20.12.2014,1,2,0,2
BUR,LIV,26.12.2014,0,1,0,1
BUR,MCI,28.12.2014,2,2,1,1
BUR,NEW,01.01.2015,3,3,2,3
BUR,QPR,10.01.2015,2,1,3,2
BUR,CRY,17.01.2015,2,3,2,0
BUR,SUN,31.01.2015,0,2,1,2
BUR,WBA,08.02.2015,2,2,1,3
BUR,MUN,11.02.2015,1,3,2,2
BUR,CHE,21.02.2015,1,1,0,1
BUR,SWA,28.02.2015,0,1,0,2
BUR,LIV,04.03.2015,0,2,0,1
BUR,MCI,14.03.2015,1,0,0,1
