Team,Opp,Date,GF,GA,CF,CA
ATA,VER,31.08.2014,0,0,,
ATA,CAG,14.09.2014,2,1,,
ATA,FIO,21.09.2014,0,1,,
ATA,INT,24.09.2014,0,2,,
ATA,JUV,27.09.2014,0,3,,
ATA,SAM,05.10.2014,0,1,,
ATA,PAR,19.10.2014,1,0,,
ATA,UDI,26.10.2014,0,2,,
ATA,NAP,29.10.2014,1,1,,
ATA,TOR,02.11.2014,0,0,,
ATA,SAS,08.11.2014,0,0,,
ATA,ROM,22.11.2014,1,2,,
ATA,EMP,30.11.2014,0,0,,
ATA,CES,07.12.2014,3,2,,
ATA,LAZ,13.12.2014,0,3,,
ATA,PAL,21.12.2014,3,3,,
ATA,GEN,06.01.2015,2,2,,
ATA,CHV,11.01.2015,1,1,,
ATA,MIL,18.01.2015,1,0,,
ATA,VER,25.01.2015,0,1,,
ATA,CAG,01.02.2015,2,1,,
ATA,FIO,08.02.2015,2,3,,
ATA,INT,15.02.2015,1,4,,
ATA,JUV,20.02.2015,1,2,,
ATA,SAM,01.03.2015,1,2,,
ATA,PAR,08.03.2015,0,0,,
ATA,UDI,15.03.2015,0,0,,
ATA,NAP,22.03.2015,1,1,,
ATA,TOR,04.04.2015,1,2,,
ATA,SAS,12.04.2015,2,1,,
ATA,ROM,19.04.2015,1,1,,
ATA,EMP,26.04.2015,2,2,,
ATA,CES,29.04.2015,2,2,,
ATA,LAZ,03.05.2015,1,1,,
ATA,PAL,10.05.2015,3,2,,
ATA,GEN,17.05.2015,1,4,,
ATA,CHV,24.05.2015,1,1,,
ATA,MIL,30.05.2015,1,3,,
VER,ATA,31.08.2014,0,0,,
VER,PAL,15.09.2014,2,1,,
VER,TOR,21.09.2014,1,0,,
VER,GEN,24.09.2014,2,2,,
VER,ROM,27.09.2014,0,2,,
VER,CAG,04.10.2014,1,0,,
VER,MIL,19.10.2014,1,3,,
VER,NAP,26.10.2014,2,6,,
VER,LAZ,30.10.2014,1,1,,
VER,CES,03.11.2014,1,1,,
VER,INT,09.11.2014,2,2,,
VER,FIO,23.11.2014,1,2,,
VER,SAS,29.11.2014,1,2,,
VER,SAM,08.12.2014,1,3,,
VER,UDI,14.12.2014,2,1,,
VER,CHV,21.12.2014,0,1,,
VER,EMP,06.01.2015,0,0,,
VER,PAR,11.01.2015,3,1,,
VER,JUV,18.01.2015,0,4,,
VER,ATA,25.01.2015,1,0,,
VER,PAL,01.02.2015,1,2,,
VER,TOR,07.02.2015,1,3,,
VER,GEN,15.02.2015,2,5,,
VER,ROM,22.02.2015,1,1,,
VER,CAG,01.03.2015,2,1,,
VER,MIL,07.03.2015,2,2,,
VER,NAP,15.03.2015,2,0,,
VER,LAZ,22.03.2015,0,2,,
VER,CES,04.04.2015,3,3,,
VER,INT,11.04.2015,0,3,,
VER,FIO,20.04.2015,1,0,,
VER,SAS,26.04.2015,3,2,,
VER,SAM,29.04.2015,1,1,,
VER,UDI,03.05.2015,0,1,,
VER,CHV,10.05.2015,2,2,,
VER,EMP,17.05.2015,2,1,,
VER,PAR,24.05.2015,2,2,,
VER,JUV,30.05.2015,2,2,,
GEN,NAP,31.08.2014,1,2,,
GEN,FIO,14.09.2014,0,0,,
GEN,LAZ,21.09.2014,1,0,,
GEN,VER,24.09.2014,2,2,,
GEN,SAM,28.09.2014,0,1,,
GEN,PAR,05.10.2014,2,1,,
GEN,EMP,20.10.2014,1,1,,
GEN,CHV,26.10.2014,2,1,,
GEN,JUV,29.10.2014,1,0,,
GEN,UDI,02.11.2014,4,2,,
GEN,CAG,09.11.2014,1,1,,
GEN,PAL,24.11.2014,1,1,,
GEN,CES,30.11.2014,3,0,,
GEN,MIL,07.12.2014,1,0,,
GEN,ROM,14.12.2014,0,1,,
GEN,TOR,21.12.2014,1,2,,
GEN,ATA,06.01.2015,2,2,,
GEN,INT,11.01.2015,1,3,,
GEN,SAS,18.01.2015,3,3,,
GEN,NAP,26.01.2015,1,2,,
GEN,FIO,31.01.2015,1,1,,
GEN,LAZ,09.02.2015,1,0,,
GEN,VER,15.02.2015,5,2,,
GEN,SAM,24.02.2015,1,1,,
GEN,EMP,08.03.2015,1,1,,
GEN,CHV,15.03.2015,0,2,,
GEN,JUV,22.03.2015,0,1,,
GEN,UDI,04.04.2015,1,1,,
GEN,CAG,11.04.2015,2,0,,
GEN,PAR,15.04.2015,2,0,,
GEN,PAL,19.04.2015,1,2,,
GEN,CES,26.04.2015,3,1,,
GEN,MIL,29.04.2015,3,1,,
GEN,ROM,03.05.2015,0,2,,
GEN,TOR,11.05.2015,5,1,,
GEN,ATA,17.05.2015,4,1,,
GEN,INT,23.05.2015,3,2,,
GEN,SAS,31.05.2015,1,3,,
INT,TOR,31.08.2014,0,0,,
INT,SAS,14.09.2014,7,0,,
INT,PAL,21.09.2014,1,1,,
INT,ATA,24.09.2014,2,0,,
INT,CAG,28.09.2014,1,4,,
INT,FIO,05.10.2014,0,3,,
INT,NAP,19.10.2014,2,2,,
INT,CES,26.10.2014,1,0,,
INT,SAM,29.10.2014,1,0,,
INT,PAR,01.11.2014,0,2,,
INT,VER,09.11.2014,2,2,,
INT,MIL,23.11.2014,1,1,,
INT,ROM,30.11.2014,2,4,,
INT,UDI,07.12.2014,1,2,,
INT,CHV,15.12.2014,2,0,,
INT,LAZ,21.12.2014,2,2,,
INT,JUV,06.01.2015,1,1,,
INT,GEN,11.01.2015,3,1,,
INT,EMP,17.01.2015,0,0,,
INT,TOR,25.01.2015,0,1,,
INT,SAS,01.02.2015,1,3,,
INT,PAL,08.02.2015,3,0,,
INT,ATA,15.02.2015,4,1,,
INT,CAG,23.02.2015,2,1,,
INT,FIO,01.03.2015,0,1,,
INT,NAP,08.03.2015,2,2,,
INT,CES,15.03.2015,1,1,,
INT,SAM,22.03.2015,0,1,,
INT,PAR,04.04.2015,1,1,,
INT,VER,11.04.2015,3,0,,
INT,MIL,19.04.2015,0,0,,
INT,ROM,25.04.2015,2,1,,
INT,UDI,28.04.2015,2,1,,
INT,CHV,03.05.2015,0,0,,
INT,LAZ,10.05.2015,2,1,,
INT,JUV,16.05.2015,1,2,,
INT,GEN,23.05.2015,2,3,,
INT,EMP,31.05.2015,4,3,,
CAG,SAS,31.08.2014,1,1,,
CAG,ATA,14.09.2014,1,2,,
CAG,ROM,21.09.2014,0,2,,
CAG,TOR,24.09.2014,1,2,,
CAG,INT,28.09.2014,4,1,,
CAG,VER,04.10.2014,0,1,,
CAG,SAM,19.10.2014,2,2,,
CAG,EMP,25.10.2014,4,0,,
CAG,MIL,29.10.2014,1,1,,
CAG,LAZ,03.11.2014,2,4,,
CAG,GEN,09.11.2014,1,1,,
CAG,NAP,23.11.2014,3,3,,
CAG,FIO,30.11.2014,0,4,,
CAG,CHV,08.12.2014,0,2,,
CAG,PAR,14.12.2014,0,0,,
CAG,JUV,18.12.2014,1,3,,
CAG,PAL,06.01.2015,0,5,,
CAG,CES,11.01.2015,2,1,,
CAG,UDI,18.01.2015,2,2,,
CAG,SAS,24.01.2015,2,1,,
CAG,ATA,01.02.2015,1,2,,
CAG,ROM,08.02.2015,1,2,,
CAG,TOR,15.02.2015,1,1,,
CAG,INT,23.02.2015,1,2,,
CAG,VER,01.03.2015,1,2,,
CAG,SAM,07.03.2015,0,2,,
CAG,EMP,14.03.2015,1,1,,
CAG,MIL,21.03.2015,1,3,,
CAG,LAZ,04.04.2015,1,3,,
CAG,GEN,11.04.2015,0,2,,
CAG,NAP,19.04.2015,0,3,,
CAG,FIO,26.04.2015,3,1,,
CAG,CHV,29.04.2015,0,1,,
CAG,PAR,04.05.2015,4,0,,
CAG,JUV,09.05.2015,1,1,,
CAG,PAL,17.05.2015,0,1,,
CAG,CES,24.05.2015,1,0,,
CAG,UDI,31.05.2015,4,3,,
CHV,JUV,30.08.2014,0,1,,
