Team,Opp,Date,GF,GA,CF,CA
FRA,FRE,23.08.2014,1,0,,
FRA,WOL,30.08.2014,2,2,,
FRA,AUG,14.09.2014,0,1,,
FRA,S04,20.09.2014,2,2,,
FRA,MAI,23.09.2014,2,2,,
FRA,HAM,28.09.2014,2,1,,
FRA,KOL,04.10.2014,3,2,,
FRA,PAD,19.10.2014,1,3,,
FRA,STU,25.10.2014,4,5,,
FRA,H96,01.11.2014,0,1,,
FRA,FCB,08.11.2014,0,4,,
FRA,MGL,22.11.2014,3,1,,
FRA,DOR,30.11.2014,2,0,,
FRA,BRE,07.12.2014,5,2,,
FRA,HOF,12.12.2014,2,3,,
FRA,BSC,17.12.2014,4,4,,
FRA,B04,20.12.2014,1,1,,
FRA,FRE,31.01.2015,1,4,,
FRA,WOL,03.02.2015,1,1,,
FRA,AUG,08.02.2015,2,2,,
FRA,S04,14.02.2015,1,0,,
FRA,MAI,21.02.2015,1,3,,
FRA,HAM,28.02.2015,2,1,,
FRA,KOL,08.03.2015,2,4,,
FRA,PAD,14.03.2015,4,0,,
FRA,STU,21.03.2015,1,3,,
FRA,H96,04.04.2015,2,2,,
FRA,FCB,11.04.2015,0,3,,
FRA,MGL,17.04.2015,0,0,,
FRA,DOR,25.04.2015,0,2,,
FRA,BRE,02.05.2015,0,1,,
FRA,HOF,09.05.2015,3,1,,
FRA,BSC,16.05.2015,0,0,,
FRA,B04,23.05.2015,2,1,,
AUG,HOF,23.08.2014,0,2,,
AUG,DOR,29.08.2014,2,3,,
AUG,FRA,14.09.2014,1,0,,
AUG,BRE,20.09.2014,4,2,,
AUG,B04,24.09.2014,0,1,,
AUG,BSC,28.09.2014,1,0,,
AUG,WOL,05.10.2014,0,1,,
AUG,MAI,18.10.2014,1,2,,
AUG,FRE,25.10.2014,2,0,,
AUG,S04,31.10.2014,0,1,,
AUG,PAD,08.11.2014,3,0,,
AUG,STU,23.11.2014,1,0,,
AUG,HAM,29.11.2014,3,1,,
AUG,KOL,06.12.2014,2,1,,
AUG,FCB,13.12.2014,0,4,,
AUG,H96,16.12.2014,0,2,,
AUG,MGL,20.12.2014,2,1,,
AUG,HOF,01.02.2015,3,1,,
AUG,DOR,04.02.2015,1,0,,
AUG,FRA,08.02.2015,2,2,,
AUG,BRE,14.02.2015,2,3,,
AUG,B04,21.02.2015,2,2,,
AUG,BSC,28.02.2015,0,1,,
AUG,WOL,07.03.2015,1,0,,
AUG,MAI,14.03.2015,0,2,,
AUG,FRE,21.03.2015,0,2,,
AUG,S04,05.04.2015,0,0,,
AUG,PAD,11.04.2015,1,2,,
AUG,STU,18.04.2015,2,1,,
AUG,HAM,25.04.2015,2,3,,
AUG,KOL,02.05.2015,0,0,,
AUG,FCB,09.05.2015,1,0,,
AUG,H96,16.05.2015,1,2,,
AUG,MGL,23.05.2015,3,1,,
FCB,WOL,22.08.2014,2,1,,
FCB,S04,30.08.2014,1,1,,
FCB,STU,13.09.2014,2,0,,
FCB,HAM,20.09.2014,0,0,,
FCB,PAD,23.09.2014,4,0,,
FCB,KOL,27.09.2014,2,0,,
FCB,H96,04.10.2014,4,0,,
FCB,BRE,18.10.2014,6,0,,
FCB,MGL,26.10.2014,0,0,,
FCB,DOR,01.11.2014,2,1,,
FCB,FRA,08.11.2014,4,0,,
FCB,HOF,22.11.2014,4,0,,
FCB,BSC,29.11.2014,1,0,,
FCB,B04,06.12.2014,1,0,,
FCB,AUG,13.12.2014,4,0,,
FCB,FRE,16.12.2014,2,0,,
FCB,MAI,19.12.2014,2,1,,
FCB,WOL,30.01.2015,1,4,,
FCB,S04,03.02.2015,1,1,,
FCB,STU,07.02.2015,2,0,,
FCB,HAM,14.02.2015,8,0,,
FCB,PAD,21.02.2015,6,0,,
FCB,KOL,27.02.2015,4,1,,
FCB,H96,07.03.2015,3,1,,
FCB,BRE,14.03.2015,4,0,,
FCB,MGL,22.03.2015,0,2,,
FCB,DOR,04.04.2015,1,0,,
FCB,FRA,11.04.2015,3,0,,
FCB,HOF,18.04.2015,2,0,,
FCB,BSC,25.04.2015,1,0,,
FCB,B04,02.05.2015,0,2,,
FCB,AUG,09.05.2015,0,1,,
FCB,FRE,16.05.2015,1,2,,
FCB,MAI,23.05.2015,2,0,,
B04,DOR,23.08.2014,2,0,,
B04,BSC,30.08.2014,4,2,,
B04,BRE,12.09.2014,3,3,,
B04,WOL,21.09.2014,1,4,,
B04,AUG,24.09.2014,1,0,,
B04,FRE,27.09.2014,0,0,,
B04,PAD,04.10.2014,2,2,,
B04,STU,18.10.2014,3,3,,
B04,S04,25.10.2014,1,0,,
B04,HAM,01.11.2014,0,1,,
B04,MAI,08.11.2014,0,0,,
B04,H96,22.11.2014,3,1,,
B04,KOL,29.11.2014,5,1,,
B04,FCB,06.12.2014,0,1,,
B04,MGL,14.12.2014,1,1,,
B04,HOF,17.12.2014,1,0,,
B04,FRA,20.12.2014,1,1,,
B04,DOR,31.01.2015,0,0,,
B04,BSC,04.02.2015,1,0,,
B04,BRE,08.02.2015,1,2,,
B04,WOL,14.02.2015,4,5,,
B04,AUG,21.02.2015,2,2,,
B04,FRE,28.02.2015,1,0,,
B04,PAD,08.03.2015,3,0,,
B04,STU,13.03.2015,4,0,,
