Team,Opp,Date,Type,Player,Timer,x1,y1,x2,y2
CHE,BUR,18.08.2014,CG,Da Silva Costa,1-33,378.96,208.1,351.92,140.553
CHE,BUR,18.08.2014,CG,Schürrle,1-20,445.52,225.37,357.12,158.907
CHE,BUR,18.08.2014,CG,Ivanovic,1-16,335.28,291.31,363.36,160.034
CHE,LEI,23.08.2014,CS,,2-56,539.12,258.34,492.32,204.96
CHE,LEI,23.08.2014,CG,Da Silva Costa,2-62,390.4,247.35,394.56,155.848
CHE,LEI,23.08.2014,G,Hazard,2-76,159.52,357.25,394.56,158.907
CHE,EVE,30.08.2014,CG,Da Silva Costa,1-0,487.12,361.96,386.24,130.41
CHE,EVE,30.08.2014,CG,Ivanovic,1-2,427.84,341.55,361.28,158.907
CHE,EVE,30.08.2014,CG,Da Silva Costa,2-89,207.36,289.74,415.36,157.941
CHE,EVE,30.08.2014,CS,,2-52,298.88,332.13,340.48,274.04
CHE,EVE,30.08.2014,G,Matic,2-73,396.64,456.16,425.76,157.941
CHE,EVE,30.08.2014,G,Santos do Nascimento,2-76,550.56,266.19,341.52,143.612
CHE,SWA,13.09.2014,G,Remy,2-80,320.72,391.79,419.52,157.941
CHE,SWA,13.09.2014,CG,Da Silva Costa,1-44,368.56,270.9,407.04,154.882
CHE,SWA,13.09.2014,CG,Da Silva Costa,2-66,374.8,236.36,344.64,152.789
CHE,SWA,13.09.2014,CG,Da Silva Costa,2-55,377.92,259.91,367.52,119.301
CHE,MCI,21.09.2014,CG,Schürrle,2-70,348.8,214.38,342.56,155.848
CHE,AST,27.09.2014,CG,Da Silva Costa,2-58,340.48,261.48,380,115.115
CHE,AST,27.09.2014,CG,Borges Da Silva,2-78,409.12,178.27,412.24,160.034
CHE,AST,27.09.2014,CG,dos Santos Emboaba Junior,1-6,402.88,267.76,344.64,158.907
CHE,AST,27.09.2014,CS,,1-33,386.24,289.74,374.8,175.13
CHE,ARS,05.10.2014,CG,Hazard,1-26,380,341.55,420.56,160.034
CHE,ARS,05.10.2014,CG,Da Silva Costa,2-77,367.52,371.38,409.12,126.385
CHE,ARS,05.10.2014,CO,,2-75,222.96,239.5,347.76,67.137
CHE,CRY,18.10.2014,CG,Fàbregas,2-50,267.68,333.7,348.8,155.848
CHE,CRY,18.10.2014,G,dos Santos Emboaba Junior,1-5,549.52,528.38,337.36,113.183
CHE,MUN,26.10.2014,G,Drogba,2-52,284.32,233.22,347.76,121.233
CHE,MUN,26.10.2014,CS,,1-40,455.92,368.24,413.28,184.55
CHE,MUN,26.10.2014,CS,,2-51,332.16,365.1,347.76,239.5
CHE,QPR,01.11.2014,CO,,1-10,440.32,208.1,451.76,158.746
CHE,QPR,01.11.2014,CG,Hazard,2-74,380,341.55,404.96,158.907
CHE,QPR,01.11.2014,G,dos Santos Emboaba Junior,1-31,600.48,338.41,336.32,129.444
CHE,LIV,08.11.2014,CG,Da Silva Costa,2-66,439.28,289.74,399.76,152.789
CHE,LIV,08.11.2014,CG,Cahill,1-13,320.72,212.81,345.68,146.671
CHE,LIV,08.11.2014,CS,,1-13,366.48,259.91,359.2,182.98
CHE,WBA,22.11.2014,CG,Da Silva Costa,1-10,375.84,253.63,358.16,140.553
CHE,WBA,22.11.2014,G,Hazard,1-24,277.04,237.93,343.6,160.034
CHE,WBA,22.11.2014,CO,,2-46,423.68,245.78,345.68,71.484
CHE,WBA,22.11.2014,CO,,1-18,407.04,255.2,302,158.746
CHE,WBA,22.11.2014,CS,,2-72,250,220.66,278.08,204.96
CHE,WBA,22.11.2014,CS,,1-41,308.24,366.67,316.56,314.86
CHE,WBA,22.11.2014,CS,,1-14,381.04,242.64,380,219.09
CHE,WBA,22.11.2014,CS,,1-4,352.96,208.1,356.08,171.99
CHE,TOT,03.12.2014,CG,Drogba,1-21,496.48,343.12,393.52,128.317
CHE,TOT,03.12.2014,CG,Hazard,1-18,252.08,267.76,364.4,148.764
CHE,TOT,03.12.2014,G,Remy,2-72,302,325.85,409.12,160.034
CHE,NEW,06.12.2014,CG,Drogba,2-82,384.16,256.77,356.08,155.848
CHE,NEW,06.12.2014,CO,,2-56,376.88,270.9,267.68,154.238
CHE,HUL,13.12.2014,CG,Hazard,1-6,401.84,258.34,361.28,158.907
CHE,HUL,13.12.2014,G,Da Silva Costa,2-67,475.68,272.47,344.64,160.034
CHE,STK,22.12.2014,CO,,1-30,571.36,398.07,289.52,156.492
CHE,STK,22.12.2014,CS,,2-83,269.76,333.7,331.12,258.34
CHE,STK,22.12.2014,G,Fàbregas,2-77,439.28,332.13,341.52,157.941
CHE,STK,22.12.2014,G,Terry,1-1,366.48,266.19,372.72,135.562
CHE,WHU,26.12.2014,CO,,1-3,288.48,256.77,362.32,78.246
CHE,WHU,26.12.2014,CG,Terry,1-30,359.2,181.41,360.24,155.848
CHE,WHU,26.12.2014,G,Da Silva Costa,2-61,207.36,361.96,412.24,160.034
CHE,WHU,26.12.2014,CS,,2-66,421.6,192.4,387.28,161
CHE,SOU,28.12.2014,G,Hazard,1-45,261.44,368.24,422.64,158.907
CHE,TOT,01.01.2015,CG,Terry,2-86,320.72,208.1,344.64,129.444
CHE,TOT,01.01.2015,CG,Da Silva Costa,1-17,404.96,181.41,421.6,133.469
CHE,TOT,01.01.2015,CG,Hazard,2-60,346.72,339.98,426.8,147.798
CHE,TOT,01.01.2015,CS,,2-84,346.72,286.6,391.44,175.13
CHE,NEW,10.01.2015,CG,dos Santos Emboaba Junior,1-42,261.44,310.15,356.08,158.907
CHE,NEW,10.01.2015,G,Da Silva Costa,2-58,358.16,401.21,338.4,158.907
CHE,SWA,17.01.2015,CG,Schürrle,2-78,390.4,192.4,389.36,158.907
CHE,SWA,17.01.2015,CG,Da Silva Costa,1-19,316.56,385.51,348.8,136.528
CHE,SWA,17.01.2015,CG,Da Silva Costa,1-33,213.6,253.63,344.64,158.907
CHE,SWA,17.01.2015,G,dos Santos Emboaba Junior,1-35,473.6,368.24,401.84,119.301
CHE,SWA,17.01.2015,CO,,1-43,438.24,335.27,388.32,95.795
CHE,SWA,17.01.2015,G,dos Santos Emboaba Junior,1-0,403.92,504.83,337.36,160.034
CHE,MCI,31.01.2015,CG,Remy,1-40,395.6,237.93,387.28,119.301
CHE,AST,07.02.2015,CG,Hazard,1-7,390.4,281.89,344.64,157.941
CHE,AST,07.02.2015,G,Ivanovic,2-65,453.84,387.08,333.2,117.208
CHE,EVE,11.02.2015,G,Borges Da Silva ,2-88,530.8,485.99,422.64,157.941
CHE,BUR,21.02.2015,CG,Ivanovic,1-13,406,214.38,418.48,158.907
CHE,WHU,04.03.2015,CG,Hazard,1-21,372.72,220.66,391.44,134.435
CHE,WHU,04.03.2015,CS,,2-57,412.24,244.21,389.36,165.71
CHE,WHU,04.03.2015,CB,,2-93,428.88,335.27,403.92,179.84
CHE,SOU,15.03.2015,CG,Da Silva Costa,1-10,360.24,239.5,393.52,135.562
CHE,SOU,15.03.2015,CO,,2-89,278.08,270.9,533.92,127.512
CHE,SOU,15.03.2015,CS,,2-71,501.68,192.4,423.68,164.14
CHE,SOU,15.03.2015,CS,,2-71,393.52,269.33,396.64,176.7
CHE,SOU,15.03.2015,CS,,2-89,361.28,303.87,375.84,171.99
CHE,SOU,15.03.2015,CB,,2-89,310.32,270.9,335.28,184.55
CHE,HUL,22.03.2015,CG,Remy,2-76,400.8,328.99,372.72,157.941
CHE,HUL,22.03.2015,G,Da Silva Costa,1-8,160.56,324.28,422.64,127.351
