Team,Opp,Date,Type,Player,Timer,x1,y1,x2,y2
FCB,HAM,14.08.2015,CO,Robert Lewandowski,1-20,411.2,299.16,342.56,80.5
FCB,HAM,14.08.2015,CG,Medhi Benatia,1-26,393.52,248.92,420.56,137.494
FCB,HAM,14.08.2015,CG,Robert Lewandowski,2-52,460.08,344.69,422.64,157.941
FCB,HAM,14.08.2015,CG,Thomas Müller,2-68,435.12,225.37,380,143.612
FCB,HAM,14.08.2015,CG,Thomas Müller,2-72,245.84,270.9,360.24,156.975
FCB,HAM,14.08.2015,G,Douglas Costa,2-86,589.04,465.58,342.56,155.848
HOF,B04,15.08.2015,CG,Steven Zuber,1-4,571.36,324.28,368.56,156.975
B04,HOF,15.08.2015,CB,Stefan Kießling,1-20,425.76,313.29,424.72,281.89
B04,HOF,15.08.2015,CS,Hakan Calhanoglu,1-38,515.2,285.03,402.88,176.7
B04,HOF,15.08.2015,CG,Stefan Kießling,1-44,308.24,272.47,357.12,111.09
B04,HOF,15.08.2015,CO,Heung-Min Son,2-59,311.36,192.4,308.24,31.234
B04,HOF,15.08.2015,CO,Stefan Kießling,2-62,316.56,233.22,347.76,29.141
B04,HOF,15.08.2015,G,Julian Brandt,2-70,218.8,360.39,407.04,156.975
B04,HOF,15.08.2015,CB,Admir Mehmedi,2-79,222.96,299.16,274.96,267.76
BSC,AUG,15.08.2015,CG,Salomon Kalou,2-47,380,341.55,380,155.848
S04,BRE,15.08.2015,G,,1-33,,,,
S04,BRE,15.08.2015,CS,Klaas-Jan Huntelaar,2-51,286.4,325.85,346.72,225.37
S04,BRE,15.08.2015,CG,Eric-Maxim Choupo-Moting,2-67,525.6,363.53,338.4,158.907
S04,BRE,15.08.2015,CG,Klaas-Jan Huntelaar,2-84,408.08,382.37,360.24,158.907
BRE,S04,15.08.2015,CB,Anthony Ujah,2-87,376.88,339.98,389.36,272.47
ING,MAI,15.08.2015,G,Lukas Hinterseer,2-65,196.96,303.87,425.76,123.326
H96,DAR,15.08.2015,CO,Kenan Karaman,1-27,383.12,275.61,375.84,97.888
DAR,H96,15.08.2015,G,Marcel Heller,1-30,247.92,357.25,424.72,108.997
H96,DAR,15.08.2015,CG,Charlison Benschop,2-47,437.2,330.56,393.52,158.907
DAR,H96,15.08.2015,CG,Marcel Heller,2-53,575.52,291.31,419.52,156.975
H96,DAR,15.08.2015,CS,Mevlüt Erdinc,2-58,380,341.55,391.44,168.85
DAR,H96,15.08.2015,CS,Marco Sailer,2-69,441.36,307.01,389.36,179.84
DAR,H96,15.08.2015,CO,Dominik Stroh-Engel,2-80,364.4,209.67,360.24,96.761
DOR,MGL,15.08.2015,G,Marco Reus,1-14,199.04,349.4,345.68,129.444
DOR,MGL,15.08.2015,CG,Pierre-Emerick Aubameyang,1-20,280.16,278.75,404.96,156.975
DOR,MGL,15.08.2015,CG,Henrikh Mkhitaryan,1-32,314.48,241.07,364.4,128.317
DOR,MGL,15.08.2015,CG,Henrikh Mkhitaryan,2-49,393.52,346.26,346.72,130.41
DOR,MGL,15.08.2015,CO,Shinji Kagawa,2-65,336.32,349.4,311.36,149.891
WOL,FRA,16.08.2015,G,Ivan Perisic,1-12,473.6,275.61,334.24,146.671
WOL,FRA,16.08.2015,CG,Bas Dost,1-16,299.92,193.97,339.44,116.242
FRA,WOL,16.08.2015,CG,Stefan Reinartz,1-18,443.44,264.62,406,112.056
STU,KOL,16.08.2015,CO,Daniel Ginczek,2-46,344.64,270.9,404.96,67.137
STU,KOL,16.08.2015,CB,Martin Harnik,2-54,374.8,281.89,413.28,182.98
STU,KOL,16.08.2015,CS,Martin Harnik,2-72,225.04,274.04,261.44,233.22
KOL,STU,16.08.2015,CG,Anthony Modeste,2-74,380,341.55,395.6,157.941
KOL,STU,16.08.2015,CG,Simon Zoller,2-76,212.56,328.99,346.72,131.376
STU,KOL,16.08.2015,CG,Daniel Didavi,2-78,380,341.55,411.2,154.882
KOL,STU,16.08.2015,CG,Yuya Osako,2-91,411.2,269.33,402.88,157.941
BSC,BRE,21.08.2015,G,Valentin Stocker,1-5,342.56,361.96,382.08,104.972
BRE,BSC,21.08.2015,CG,Anthony Ujah,1-25,393.52,217.52,399.76,151.823
S04,DAR,22.08.2015,CS,Klaas-Jan Huntelaar,2-58,473.6,261.48,421.6,168.85
DAR,S04,22.08.2015,CS,Mario Vrancic,1-33,250,322.71,329.04,223.8
DAR,S04,22.08.2015,G,Konstantin Rausch,1-8,237.52,435.75,425.76,150.857
S04,DAR,22.08.2015,G,Julian Draxler,2-46,352.96,365.1,340.48,158.907
FRA,AUG,22.08.2015,CG,Marco Russ,2-85,361.28,267.76,374.8,150.857
AUG,FRA,22.08.2015,CS,Dong-Won Ji,2-79,292.64,368.24,331.12,300.73
AUG,FRA,22.08.2015,CS,Tobias Werner,2-84,265.6,355.68,300.96,274.04
AUG,FRA,22.08.2015,G,Caiuby,1-22,539.12,467.15,416.4,102.879
B04,H96,22.08.2015,CS,Admir Mehmedi,1-27,468.4,383.94,393.52,206.53
B04,H96,22.08.2015,CO,André Ramalho,2-51,407.04,228.51,428.88,51.359
B04,H96,22.08.2015,G,Hakan Calhanoglu,1-17,330.08,566.06,352.96,113.183
KOL,WOL,22.08.2015,CG,Simon Zoller,1-29,437.2,321.14,382.08,156.975
KOL,WOL,22.08.2015,CS,Simon Zoller,2-46,468.4,286.6,454.88,252.06
WOL,KOL,22.08.2015,CG,Nicklas Bendtner,2-82,333.2,206.53,360.24,153.916
WOL,KOL,22.08.2015,CS,Kevin De Bruyne,2-91,496.48,376.09,477.76,341.55
WOL,KOL,22.08.2015,CB,Kevin De Bruyne,2-91,514.16,270.9,445.52,197.11
WOL,KOL,22.08.2015,CS,Bas Dost,2-94,369.6,322.71,370.64,175.13
HOF,FCB,22.08.2015,CG,Kevin Volland,1-0,333.2,404.35,383.12,148.764
HOF,FCB,22.08.2015,CO,Eugen Polanski,2-73,380,341.55,437.2,151.823
FCB,HOF,22.08.2015,CG,Thomas Müller,1-40,432,248.92,411.2,154.882
FCB,HOF,22.08.2015,CS,Robert Lewandowski,2-87,252.08,350.97,300.96,285.03
FCB,HOF,22.08.2015,CS,Robert Lewandowski,2-87,286.4,234.79,374.8,165.71
FCB,HOF,22.08.2015,CG,Robert Lewandowski,2-89,361.28,299.16,376.88,156.975
HAM,STU,22.08.2015,CG,Ivo Ilicevic,1-33,546.4,318,388.32,133.469
HAM,STU,22.08.2015,CG,Pierre-Michel Lasogga,2-83,504.8,228.51,424.72,153.916
HAM,STU,22.08.2015,CG,Johan Djourou,2-88,311.36,286.6,400.8,154.882
STU,HAM,22.08.2015,CS,Christian Gentner,1-21,357.12,314.86,387.28,184.55
STU,HAM,22.08.2015,CG,Daniel Ginczek,1-22,442.4,336.84,423.68,148.764
STU,HAM,22.08.2015,CG,Daniel Ginczek,1-41,368.56,344.69,402.88,151.823
DOR,ING,23.08.2015,CO,Marco Reus,1-5,308.24,336.84,468.4,138.621
DOR,ING,23.08.2015,CG,Matthias Ginter,2-54,494.4,371.38,344.64,160.034
DOR,ING,23.08.2015,CG,Marco Reus,2-59,380,341.55,344.64,130.41
DOR,ING,23.08.2015,CS,Mats Hummels,2-73,455.92,230.08,410.16,176.7
DOR,ING,23.08.2015,CO,Gonzalo Castro,2-86,267.68,171.99,306.16,136.367
DOR,ING,23.08.2015,CG,Pierre-Emerick Aubameyang,2-90,404.96,214.38,404.96,151.823
DOR,ING,23.08.2015,G,Shinji Kagawa,2-83,398.72,374.52,402.88,160.034
MGL,MAI,23.08.2015,CO,Thorgan Hazard,1-44,433.04,349.4,287.44,156.492
MGL,MAI,23.08.2015,CO,Raffael,2-63,546.4,361.96,311.36,158.746
MGL,MAI,23.08.2015,CS,Thorgan Hazard,2-64,206.32,350.97,233.36,313.29
MGL,MAI,23.08.2015,G,Patrick Herrmann,2-53,500.64,402.78,337.36,157.941
MAI,MGL,23.08.2015,CG,Jairo Samperio,1-41,320.72,305.44,377.92,160.034
MAI,MGL,23.08.2015,CG,Christian Clemens,2-78,522.48,261.48,418.48,160.034
MAI,MGL,23.08.2015,CO,Yoshinori Muto,2-86,548.48,310.15,294.72,158.746
MAI,MGL,23.08.2015,CO,Yoshinori Muto,2-89,530.8,368.24,409.12,78.246
WOL,S04,28.08.2015,CG,Bas Dost,1-16,404.96,283.46,384.16,125.258
WOL,S04,28.08.2015,CG,Ricardo Rodríguez,2-58,380,341.55,403.92,157.941
WOL,S04,28.08.2015,G,Timm Klose,2-60,288.48,299.16,398.72,156.975
S04,WOL,28.08.2015,CO,Klaas-Jan Huntelaar,2-74,234.4,383.94,274.96,113.988
STU,FRA,29.08.2015,CG,Daniel Didavi,1-29,402.88,214.38,381.04,160.034
STU,FRA,29.08.2015,CO,Martin Harnik,1-33,373.76,189.26,383.12,42.504
STU,FRA,29.08.2015,CO,Timo Baumgartl,2-63,263.52,178.27,277.04,120.75
FRA,STU,29.08.2015,CG,Luc Castaignos,1-41,399.76,233.22,398.72,157.941
FRA,STU,29.08.2015,CG,Haris Seferovic,2-68,380,341.55,420.56,151.823
FRA,STU,29.08.2015,G,,1-10,,,,
FRA,STU,29.08.2015,G,Luc Castaignos,2-86,220.88,336.84,341.52,153.916
AUG,ING,29.08.2015,CO,Tobias Werner,2-52,323.84,267.76,267.68,64.883
