Team,Opp,Date,Type,Player,Timer,x1,y1,x2,y2
SEV,MLG,21.08.2015,CO,Kevin Gameiro,1-17,314.48,349.4,333.2,40.25
MLG,SEV,21.08.2015,CS,Nordin Amrabat,2-88,375.84,355.68,382.08,206.53
ESP,GET,22.08.2015,G,Salva Sevilla,1-2,314.48,445.17,335.28,110.124
GET,ESP,22.08.2015,CO,Ian González,1-86,282.24,263.05,445.52,170.42
GET,ESP,22.08.2015,CO,Álvaro Vázquez,1-86,435.12,178.27,319.68,168.85
RSO,DEP,22.08.2015,CS,Jonathas,1-23,241.68,369.81,265.6,332.13
ATM,LPA,22.08.2015,G,Antoine Griezmann,1-15,459.04,545.65,386.24,132.503
LPA,ATM,22.08.2015,CO,David Simón,2-57,486.08,214.38,399.76,96.761
VAL,RVA,22.08.2015,CS,Santi Mina,1-11,514.16,314.86,461.12,259.91
VAL,RVA,22.08.2015,CS,Santi Mina,1-18,383.12,209.67,380,171.99
VAL,RVA,22.08.2015,CO,Pablo Piatti,1-25,370.64,223.8,289.52,149.891
RVA,VAL,22.08.2015,CB,Manucho,2-65,338.4,209.67,342.56,203.39
BAR,ATH,23.08.2015,CS,Lionel Messi,1-30,380,341.55,351.92,161
BAR,ATH,23.08.2015,CG,Luis Suárez,2-53,387.28,277.18,381.04,127.351
RMA,SPG,23.08.2015,CO,Gareth Bale,1-11,135.6,184.55,308.24,147.637
CEL,LEV,23.08.2015,G,Fabián Orellana,1-40,332.16,382.37,341.52,157.941
LEV,CEL,23.08.2015,G,Verza,2-54,245.84,462.44,343.6,115.115
CEL,LEV,23.08.2015,CG,Iago Aspas,2-76,368.56,193.97,391.44,157.941
VILL,RBS,23.08.2015,CG,Roberto Soldado,1-31,569.28,297.59,352.96,157.941
VILL,RBS,23.08.2015,CB,Cédric Bakambu,2-74,131.44,537.8,354,244.21
VILL,RBS,23.08.2015,CO,Samuel,2-74,355.04,369.81,385.2,96.761
VILL,RBS,23.08.2015,CO,Víctor Ruiz,2-77,366.48,253.63,363.36,71.484
RBS,VILL,23.08.2015,CS,Xavi Torres,2-86,344.64,277.18,382.08,230.08
RBS,VILL,23.08.2015,CG,Rubén Castro,2-86,453.84,189.26,372.72,152.789
EIB,GRA,24.08.2015,G,Adrián,1-21,314.48,350.97,421.6,133.469
EIB,GRA,24.08.2015,CG,Gonzalo Escalante,1-34,461.12,215.95,406,160.034
GRA,EIB,24.08.2015,CG,Rubén Rochina,2-49,440.32,214.38,413.28,132.503
EIB,GRA,24.08.2015,CG,Mikel Arruabarrena,2-66,395.6,186.12,407.04,147.798
ESP,VILL,28.08.2015,CG,Felipe Caicedo,1-4,243.76,339.98,346.72,160.034
ESP,VILL,28.08.2015,CS,Gerard Moreno,2-61,505.84,274.04,468.4,231.65
VILL,ESP,28.08.2015,G,Roberto Soldado,2-66,404.96,372.95,352.96,152.789
VILL,ESP,28.08.2015,CO,Samuel,2-82,500.64,333.7,458,156.492
VILL,ESP,28.08.2015,CG,Cédric Bakambu,2-86,234.4,228.51,344.64,147.798
VILL,ESP,28.08.2015,CG,Cédric Bakambu,2-93,389.36,245.78,369.6,156.975
RSO,SPG,29.08.2015,CO,Carlos Vela,1-32,400.8,281.89,302,149.891
BAR,MLG,29.08.2015,CO,Javier Mascherano,1-25,350.88,266.19,404.96,95.795
BAR,MLG,29.08.2015,CG,Thomas Vermaelen,2-72,395.6,333.7,359.2,136.528
CEL,RVA,29.08.2015,CG,Nolito,1-10,380,341.55,350.88,160.034
CEL,RVA,29.08.2015,CS,Iago Aspas,1-41,350.88,393.36,357.12,296.02
CEL,RVA,29.08.2015,G,Nolito,2-49,207.36,371.38,348.8,154.882
CEL,RVA,29.08.2015,G,Andreu Fontás,2-87,348.8,344.69,345.68,144.739
RMA,RBS,29.08.2015,CG,Gareth Bale,1-1,374.8,299.16,403.92,152.789
RMA,RBS,29.08.2015,CS,Cristiano Ronaldo,1-34,209.44,283.46,284.32,225.37
RMA,RBS,29.08.2015,G,James Rodríguez,1-38,696.16,324.28,333.2,122.199
RMA,RBS,29.08.2015,CG,Karim Benzema,2-46,381.04,233.22,366.48,134.435
RMA,RBS,29.08.2015,G,James Rodríguez,2-49,378.96,272.47,406,140.553
RMA,RBS,29.08.2015,CS,Cristiano Ronaldo,2-58,276,292.88,317.6,233.22
RBS,RMA,29.08.2015,CS,Rubén Castro,2-60,380,341.55,387.28,175.13
RMA,RBS,29.08.2015,CB,Cristiano Ronaldo,2-62,168.88,266.19,372.72,168.85
RMA,RBS,29.08.2015,G,Gareth Bale,2-88,324.88,575.48,333.2,154.882
EIB,ATH,30.08.2015,CG,Saúl Berjón,1-33,380,341.55,392.48,132.503
EIB,ATH,30.08.2015,CS,Keko,2-60,198,372.95,274.96,292.88
EIB,ATH,30.08.2015,G,Adrián,2-60,518.32,219.09,335.28,130.41
ATM,SEV,30.08.2015,CG,Koke,1-34,429.92,339.98,347.76,157.941
SEV,ATM,30.08.2015,CO,Fernando Llorente,2-64,346.72,291.31,459.04,149.891
ATM,SEV,30.08.2015,G,Gabi,2-77,522.48,588.04,338.4,139.587
ATM,SEV,30.08.2015,G,Jackson Martínez,2-84,368.56,547.22,357.12,119.301
DEP,VAL,30.08.2015,CO,Luis Alberto,1-3,288.48,314.86,308.24,158.746
DEP,VAL,30.08.2015,G,Lucas Pérez,1-38,578.64,511.11,337.36,147.798
VAL,DEP,30.08.2015,CG,Álvaro Negredo,1-44,453.84,220.66,407.04,149.73
VAL,DEP,30.08.2015,CS,Danilo,2-52,423.68,192.4,415.36,164.14
VAL,DEP,30.08.2015,CS,Rodrigo de Paul,2-73,419.52,357.25,423.68,250.49
LPA,LEV,30.08.2015,,,,,,,
LEV,LPA,30.08.2015,,,,,,,
GRA,GET,30.08.2015,CG,Youssef El-Arabi,1-25,380,339.98,425.76,149.73
GRA,GET,30.08.2015,G,Success,1-28,547.44,328.99,388.32,158.907
GET,GRA,30.08.2015,CS,Ángel Lafita,2-74,300.96,278.75,356.08,171.99
GET,GRA,30.08.2015,G,Ángel Lafita,2-79,243.76,429.47,342.56,158.907
