Team,Opp,Date,GT,GO,CT,CO
SPA,UFA,17.07.2015,2,2,4,1
CSK,RUB,18.07.2015,1,0,2,0
ROS,TER,18.07.2015,1,1,0,1
ZEN,DYN,19.07.2015,2,1,4,2
MOR,LOK,19.07.2015,0,1,1,1
ANZ,KRY,19.07.2015,0,1,2,1
AMK,KRA,20.07.2015,0,1,0,0
KUB,URL,20.07.2015,0,2,0,4
KRY,CSK,24.07.2015,0,2,0,3
UFA,ROS,25.07.2015,1,2,0,3
DYN,MOR,25.07.2015,2,2,1,2
TER,KUB,25.07.2015,1,1,1,0
URL,ZEN,26.07.2015,1,4,2,2
RUB,AMK,26.07.2015,0,2,1,3
KRA,SPA,26.07.2015,0,1,0,1
ANZ,LOK,27.07.2015,1,3,1,2
KUB,UFA,31.07.2015,1,1,0,1
AMK,KRY,01.08.2015,1,0,2,0
ZEN,TER,01.08.2015,3,0,6,0
CSK,ANZ,01.08.2015,1,0,3,1
LOK,DYN,02.08.2015,1,1,2,1
MOR,URL,02.08.2015,1,1,0,2
ROS,KRA,02.08.2015,0,0,2,1
SPA,RUB,03.08.2015,1,0,3,1
TER,MOR,07.08.2015,,,,
URL,LOK,08.08.2015,,,,
ANZ,DYN,08.08.2015,,,,
CSK,AMK,09.08.2015,,,,
UFA,ZEN,09.08.2015,,,,
KRY,SPA,09.08.2015,,,,
RUB,ROS,10.08.2015,,,,
KRA,KUB,10.08.2015,,,,
AMK,ANZ,14.08.2015,,,,
ZEN,KRA,15.08.2015,,,,
SPA,CSK,15.08.2015,,,,
KUB,RUB,15.08.2015,,,,
LOK,TER,16.08.2015,,,,
DYN,URL,16.08.2015,,,,
ROS,KRY,16.08.2015,,,,
MOR,UFA,17.08.2015,,,,
TER,DYN,21.08.2015,,,,
AMK,SPA,22.08.2015,,,,
CSK,ROS,22.08.2015,,,,
ANZ,URL,22.08.2015,,,,
RUB,ZEN,23.08.2015,,,,
UFA,LOK,23.08.2015,,,,
KRA,MOR,23.08.2015,,,,
KRY,KUB,24.08.2015,,,,
URL,TER,28.08.2015,,,,
ROS,AMK,28.08.2015,,,,
DYN,UFA,29.08.2015,,,,
ZEN,KRY,29.08.2015,,,,
SPA,ANZ,29.08.2015,,,,
LOK,KRA,30.08.2015,,,,
MOR,RUB,30.08.2015,,,,
KUB,CSK,30.08.2015,,,,
SPA,ROS,12.09.2015,,,,
AMK,KUB,12.09.2015,,,,
CSK,ZEN,12.09.2015,,,,
ANZ,TER,12.09.2015,,,,
RUB,LOK,12.09.2015,,,,
KRA,DYN,12.09.2015,,,,
UFA,URL,12.09.2015,,,,
KRY,MOR,12.09.2015,,,,
TER,UFA,18.09.2015,,,,
URL,KRA,18.09.2015,,,,
DYN,RUB,18.09.2015,,,,
LOK,KRY,18.09.2015,,,,
MOR,CSK,18.09.2015,,,,
ZEN,AMK,18.09.2015,,,,
KUB,SPA,18.09.2015,,,,
ROS,ANZ,18.09.2015,,,,
ROS,KUB,25.09.2015,,,,
SPA,ZEN,25.09.2015,,,,
AMK,MOR,25.09.2015,,,,
KRY,DYN,25.09.2015,,,,
KRA,TER,25.09.2015,,,,
RUB,URL,25.09.2015,,,,
ANZ,UFA,25.09.2015,,,,
CSK,LOK,25.09.2015,,,,
KUB,ANZ,02.10.2015,,,,
ZEN,ROS,02.10.2015,,,,
MOR,SPA,02.10.2015,,,,
LOK,AMK,02.10.2015,,,,
DYN,CSK,02.10.2015,,,,
URL,KRY,02.10.2015,,,,
TER,RUB,02.10.2015,,,,
UFA,KRA,02.10.2015,,,,
KRY,TER,17.10.2015,,,,
RUB,UFA,17.10.2015,,,,
ANZ,KRA,17.10.2015,,,,
CSK,URL,17.10.2015,,,,
AMK,DYN,17.10.2015,,,,
SPA,LOK,17.10.2015,,,,
ROS,MOR,17.10.2015,,,,
KUB,ZEN,17.10.2015,,,,
ZEN,ANZ,23.10.2015,,,,
MOR,KUB,23.10.2015,,,,
LOK,ROS,23.10.2015,,,,
DYN,SPA,23.10.2015,,,,
URL,AMK,23.10.2015,,,,
TER,CSK,23.10.2015,,,,
UFA,KRY,23.10.2015,,,,
KRA,RUB,23.10.2015,,,,
KRY,KRA,30.10.2015,,,,
ANZ,RUB,30.10.2015,,,,
CSK,UFA,30.10.2015,,,,
AMK,TER,30.10.2015,,,,
SPA,URL,30.10.2015,,,,
ROS,DYN,30.10.2015,,,,
KUB,LOK,30.10.2015,,,,
ZEN,MOR,30.10.2015,,,,
MOR,ANZ,06.11.2015,,,,
LOK,ZEN,06.11.2015,,,,
DYN,KUB,06.11.2015,,,,
URL,ROS,06.11.2015,,,,
TER,SPA,06.11.2015,,,,
UFA,AMK,06.11.2015,,,,
KRA,CSK,06.11.2015,,,,
RUB,KRY,06.11.2015,,,,
LOK,ANZ,21.11.2015,,,,
MOR,DYN,21.11.2015,,,,
ZEN,URL,21.11.2015,,,,
KUB,TER,21.11.2015,,,,
ROS,UFA,21.11.2015,,,,
SPA,KRA,21.11.2015,,,,
AMK,RUB,21.11.2015,,,,
CSK,KRY,21.11.2015,,,,
ANZ,CSK,27.11.2015,,,,
KRY,AMK,27.11.2015,,,,
RUB,SPA,27.11.2015,,,,
KRA,ROS,27.11.2015,,,,
UFA,KUB,27.11.2015,,,,
TER,ZEN,27.11.2015,,,,
URL,MOR,27.11.2015,,,,
DYN,LOK,27.11.2015,,,,
SPA,KRY,01.12.2015,,,,
LOK,URL,01.12.2015,,,,
MOR,TER,01.12.2015,,,,
