Team,Opp,Date,Type,Player,Timer,x1,y1,x2,y2
VER,ROM,22.08.2015,CS,Juanito Gómez,2-55,213.6,307.01,326.96,204.96
VER,ROM,22.08.2015,G,Bosko Jankovic,2-60,462.16,259.91,415.36,148.764
ROM,VER,22.08.2015,CS,Miralem Pjanic,2-88,267.68,310.15,342.56,204.96
ROM,VER,22.08.2015,G,Alessandro Florenzi,2-65,625.44,575.48,337.36,150.857
LAZ,BOL,22.08.2015,CG,Ricardo Kishna,1-22,434.08,313.29,425.76,153.916
LAZ,BOL,22.08.2015,CS,Keita,2-46,330.08,346.26,340.48,294.45
LAZ,BOL,22.08.2015,G,Lucas Biglia,1-16,381.04,402.78,339.44,146.671
BOL,LAZ,22.08.2015,G,Matteo Mancosu,1-42,227.12,318,344.64,105.938
JUV,UDI,23.08.2015,CO,Mario Mandzukic,1-36,342.56,256.77,325.92,47.012
UDI,JUV,23.08.2015,CG,Cyril Théréau,2-77,336.32,206.53,369.6,157.941
EMP,CHI,23.08.2015,CB,Massimo Maccarone,1-44,342.56,239.5,351.92,217.52
EMP,CHI,23.08.2015,CS,Luca Martinelli,1-44,456.96,259.91,412.24,178.27
EMP,CHI,23.08.2015,G,Riccardo Saponara,1-6,185.52,385.51,348.8,160.034
CHI,EMP,23.08.2015,CO,Paul-José M'Poku,1-8,227.12,376.09,313.44,143.129
CHI,EMP,23.08.2015,CG,Riccardo Meggiorini,2-54,462.16,215.95,411.2,125.258
CHI,EMP,23.08.2015,G,Valter Birsa,2-59,417.44,536.23,336.32,149.73
CHI,EMP,23.08.2015,G,Alberto Paloschi,2-62,372.72,283.46,415.36,124.292
FIO,MIL,23.08.2015,CS,Nikola Kalinic,1-19,347.76,407.49,366.48,267.76
FIO,MIL,23.08.2015,CS,Josip Ilicic,2-52,372.72,314.86,374.8,264.62
FIO,MIL,23.08.2015,CG,Josip Ilicic,2-55,380,341.55,426.8,155.848
FIO,MIL,23.08.2015,G,Marcos Alonso,1-37,173.04,605.31,338.4,104.006
MIL,FIO,23.08.2015,CO,Giacomo Bonaventura,1-28,294.72,258.34,345.68,67.137
FRO,TOR,23.08.2015,CG,Danilo Soddimo,1-6,374.8,259.91,338.4,155.848
TOR,FRO,23.08.2015,CS,Fabio Quagliarella,1-7,369.6,241.07,372.72,175.13
TOR,FRO,23.08.2015,CB,Fabio Quagliarella,1-26,293.68,208.1,370.64,170.42
TOR,FRO,23.08.2015,G,Fabio Quagliarella,2-58,413.28,297.59,417.44,156.975
TOR,FRO,23.08.2015,G,Daniele Baselli,2-63,261.44,481.28,424.72,147.798
INT,ATA,23.08.2015,CO,Marcelo Brozovic,2-62,441.36,286.6,360.24,49.266
INT,ATA,23.08.2015,G,Stevan Jovetic,2-92,159.52,404.35,421.6,126.385
PAL,GEN,23.08.2015,CO,Luca Rigoni,1-23,406,245.78,383.12,94.829
PAL,GEN,23.08.2015,CG,Abdelhamid El Kaoutari,2-90,297.84,245.78,351.92,108.031
GEN,PAL,23.08.2015,CS,Goran Pandev,1-6,229.2,281.89,259.36,233.22
SAM,CAR,23.08.2015,CG,Éder,1-13,381.04,341.55,392.48,158.907
SAM,CAR,23.08.2015,G,Luis Muriel,1-20,556.8,292.88,420.56,130.41
SAM,CAR,23.08.2015,G,Luis Muriel,1-30,498.56,335.27,340.48,142.646
SAM,CAR,23.08.2015,G,Éder,1-32,212.56,391.79,408.08,150.857
SAM,CAR,23.08.2015,G,Fernando,1-36,454.88,442.03,418.48,107.065
