Team,Opp,Date,Type,Player,Timer,x1,y1,x2,y2
BAR,ELC,24.08.2014,GF,Messi,1-41,260.4,377.66,424.72,157.941
BAR,ELC,24.08.2014,GF,Messi,2-62,447.6,380.8,334.24,158.907
BAR,ELC,24.08.2014,CF-G,El Haddadi,2-45,462.16,379.23,335.28,153.916
BAR,ELC,24.08.2014,CF-S,,2-55,441.36,275.61,433.04,253.63
BAR,VILL,31.08.2014,CF-G,Ramírez,2-81,387.28,182.98,384.16,157.941
BAR,VILL,31.08.2014,CF-O,,2-70,348.8,319.57,392.48,33.488
BAR,VILL,31.08.2014,CF-S,,2-81,550.56,233.22,436.16,175.13
BAR,VILL,31.08.2014,CF-B,,2-67,369.6,197.11,372.72,170.42
BAR,ATH,13.09.2014,CF-G,Santos Júnior,2-78,286.4,349.4,422.64,156.975
BAR,ATH,13.09.2014,CF-G,Santos Júnior,2-83,391.44,324.28,420.56,160.034
BAR,ATH,13.09.2014,CF-S,,1-43,432,214.38,423.68,195.54
BAR,LEV,21.09.2014,GF,Rakitic,1-43,537.04,514.25,334.24,135.562
BAR,LEV,21.09.2014,CF-G,Santos Júnior,1-33,510,292.88,369.6,160.034
BAR,LEV,21.09.2014,CF-G,Ramírez,2-56,409.12,383.94,412.24,158.907
BAR,LEV,21.09.2014,CF-G,Rodríguez Ledesma,2-63,322.8,330.56,418.48,157.941
BAR,LEV,21.09.2014,CF-G,Messi,2-76,393.52,380.8,342.56,147.798
BAR,LEV,21.09.2014,CF-O,,1-41,380,341.55,306.16,129.766
BAR,LEV,21.09.2014,CF-O,,1-24,322.8,330.56,302,154.238
BAR,LEV,21.09.2014,CF-O,,1-15,188.64,288.17,900,175.13
BAR,LEV,21.09.2014,CF-S,,1-19,222.96,267.76,278.08,226.94
BAR,GRA,27.09.2014,CF-G,Santos Júnior,1-25,346.72,349.4,342.56,151.823
BAR,GRA,27.09.2014,CF-G,Rakitic,1-42,413.28,244.21,334.24,140.553
BAR,GRA,27.09.2014,CF-G,Santos Júnior,1-44,271.84,294.45,407.04,121.233
BAR,GRA,27.09.2014,CF-G,Messi,2-61,340.48,234.79,355.04,132.503
BAR,GRA,27.09.2014,CF-G,Santos Júnior,2-65,340.48,291.31,343.6,160.034
BAR,GRA,27.09.2014,CF-G,Messi,2-81,427.84,313.29,340.48,150.857
BAR,GRA,27.09.2014,CF-O,,1-9,415.36,193.97,314.48,179.84
