Team,Opp,Date,GF,GA,CF,CA
BAS,OM,09.08.2014,3,3,,
BAS,PSG,16.08.2014,0,2,,
BAS,TFC,23.08.2014,1,0,,
BAS,BOR,31.08.2014,1,1,,
BAS,RCL,13.09.2014,1,1,,
BAS,MET,20.09.2014,1,3,,
BAS,NAN,24.09.2014,0,0,,
BAS,LIL,27.09.2014,0,1,,
BAS,LOR,04.10.2014,0,2,,
BAS,NIC,18.10.2014,1,0,,
BAS,ASM,25.10.2014,1,3,,
BAS,GUI,01.11.2014,0,1,,
BAS,MHS,08.11.2014,2,0,,
BAS,OL,22.11.2014,0,0,,
BAS,REI,29.11.2014,1,2,,
BAS,EVI,03.12.2014,1,2,,
BAS,STE,06.12.2014,0,1,,
BAS,REN,13.12.2014,2,0,,
BAS,CAE,20.12.2014,1,1,,
BAS,PSG,10.01.2015,4,2,,
BAS,TFC,17.01.2015,1,1,,
BAS,BOR,24.01.2015,0,0,,
BAS,RCL,31.01.2015,1,1,,
BAS,MET,07.02.2015,2,0,,
BAS,NAN,14.02.2015,2,0,,
BAS,LIL,21.02.2015,2,1,,
BAS,LOR,28.02.2015,0,2,,
BAS,NIC,07.03.2015,2,1,,
BAS,ASM,13.03.2015,0,3,,
BAS,GUI,21.03.2015,0,0,,
BAS,MHS,04.04.2015,1,3,,
BAS,OL,15.04.2015,0,2,,
BAS,REI,18.04.2015,1,2,,
BAS,EVI,25.04.2015,2,1,,
BAS,STE,02.05.2015,1,0,,
BAS,REN,09.05.2015,1,0,,
BAS,CAE,16.05.2015,1,1,,
BAS,OM,23.05.2015,0,3,,
BOR,MHS,09.08.2014,1,0,,
BOR,ASM,17.08.2014,4,1,,
BOR,NIC,23.08.2014,3,1,,
BOR,BAS,31.08.2014,1,1,,
BOR,GUI,14.09.2014,1,2,,
BOR,EVI,19.09.2014,2,1,,
BOR,STE,25.09.2014,1,1,,
BOR,REN,28.09.2014,2,1,,
BOR,REI,03.10.2014,0,1,,
BOR,CAE,19.10.2014,1,1,,
BOR,PSG,25.10.2014,0,3,,
BOR,TFC,02.11.2014,2,1,,
BOR,RCL,08.11.2014,2,1,,
BOR,OM,23.11.2014,1,3,,
BOR,LIL,30.11.2014,1,0,,
BOR,MET,03.12.2014,0,0,,
BOR,LOR,06.12.2014,3,2,,
BOR,NAN,13.12.2014,1,2,,
BOR,OL,21.12.2014,0,5,,
BOR,ASM,11.01.2015,0,0,,
BOR,NIC,16.01.2015,1,2,,
BOR,BAS,24.01.2015,0,0,,
BOR,GUI,01.02.2015,1,1,,
BOR,EVI,07.02.2015,1,0,,
BOR,STE,15.02.2015,1,0,,
BOR,REN,21.02.2015,1,1,,
BOR,REI,28.02.2015,1,1,,
BOR,CAE,07.03.2015,2,1,,
BOR,PSG,15.03.2015,3,2,,
